Dataset,Spots,Method,ARI(mean),NMI(mean),ARI_s1,NMI_s1,ARI_s2,NMI_s2
DLPFC_sample1,4221+4788,PCA,0.2985,0.4490,0.2426,0.4286,0.3544,0.4695
DLPFC_sample1,,PCA_leiden_spatial,0.3160,0.4640,0.3896,0.5035,0.2424,0.4244
DLPFC_sample1,,INR,0.2176,0.3623,0.2951,0.4240,0.1400,0.3006
DLPFC_sample1,,INR_leiden_spatial,0.2742,0.4278,0.3522,0.4647,0.1961,0.3910
DLPFC_sample1,,STAligner,0.2727,0.4737,0.4370,0.5983,0.1083,0.3491
DLPFC_sample1,,STAligner_leiden_spatial,0.1910,0.3596,0.2075,0.3640,0.1745,0.3551
DLPFC_sample1,,GraphST,0.4308,0.6410,0.4310,0.6496,0.4305,0.6323
DLPFC_sample1,,GraphST_leiden_spatial,0.3586,0.5299,0.4104,0.5515,0.3067,0.5083
DLPFC_sample1,,SPIRAL,0.5580,0.6518,0.5327,0.6584,0.5832,0.6452
DLPFC_sample1,,SPIRAL_leiden_spatial,0.5139,0.6412,0.4891,0.6389,0.5387,0.6434
DLPFC_sample1,,Seurat,0.2369,0.3716,0.1697,0.3713,0.3040,0.3718
DLPFC_sample1,,Seurat_leiden_spatial,0.3885,0.5437,0.4396,0.5455,0.3373,0.5418
DLPFC_sample2,3636+3484,PCA,0.2047,0.3642,0.2831,0.4146,0.1262,0.3139
DLPFC_sample2,,PCA_leiden_spatial,0.2582,0.4218,0.3339,0.4192,0.1824,0.4244
DLPFC_sample2,,INR,0.1163,0.2962,0.0773,0.2646,0.1553,0.3278
DLPFC_sample2,,INR_leiden_spatial,0.1786,0.3647,0.1991,0.3826,0.1581,0.3467
DLPFC_sample2,,STAligner,0.4632,0.5556,0.4648,0.6099,0.4616,0.5013
DLPFC_sample2,,STAligner_leiden_spatial,0.1659,0.3295,0.2157,0.3634,0.1161,0.2955
DLPFC_sample2,,GraphST,0.4896,0.5893,0.4567,0.5771,0.5225,0.6014
DLPFC_sample2,,GraphST_leiden_spatial,0.2942,0.4828,0.2735,0.4694,0.3148,0.4962
DLPFC_sample2,,SPIRAL,0.3592,0.4843,0.4191,0.5345,0.2993,0.4341
DLPFC_sample2,,SPIRAL_leiden_spatial,0.4146,0.5415,0.4364,0.5601,0.3927,0.5229
DLPFC_sample2,,Seurat,0.2848,0.2865,0.4092,0.3268,0.1603,0.2461
DLPFC_sample2,,Seurat_leiden_spatial,0.2754,0.4459,0.2709,0.4510,0.2798,0.4408
DLPFC_sample3,3611+3566,PCA,0.2187,0.4126,0.2129,0.3915,0.2246,0.4336
DLPFC_sample3,,PCA_leiden_spatial,0.3100,0.4576,0.2796,0.4528,0.3404,0.4625
DLPFC_sample3,,INR,0.2023,0.3285,0.2064,0.3307,0.1982,0.3263
DLPFC_sample3,,INR_leiden_spatial,0.2163,0.3501,0.2368,0.3820,0.1957,0.3182
DLPFC_sample3,,STAligner,0.2932,0.4905,0.3422,0.5139,0.2441,0.4670
DLPFC_sample3,,STAligner_leiden_spatial,0.3284,0.4607,0.3098,0.4489,0.3470,0.4725
DLPFC_sample3,,GraphST,0.6183,0.7244,0.6273,0.7388,0.6093,0.7100
DLPFC_sample3,,GraphST_leiden_spatial,0.4281,0.5612,0.4281,0.5807,0.4280,0.5417
DLPFC_sample3,,SPIRAL,0.3559,0.4778,0.3608,0.4976,0.3509,0.4580
DLPFC_sample3,,SPIRAL_leiden_spatial,0.3865,0.5519,0.3966,0.5919,0.3763,0.5119
DLPFC_sample3,,Seurat,0.2534,0.3966,0.2063,0.4068,0.3005,0.3864
DLPFC_sample3,,Seurat_leiden_spatial,0.4038,0.5351,0.4093,0.5545,0.3982,0.5157
MouseEmbryo,17425+19939,PCA,,,,,,
MouseEmbryo,,PCA_leiden_spatial,,,,,,
MouseEmbryo,,INR,,,,,,
MouseEmbryo,,INR_leiden_spatial,,,,,,
MouseEmbryo,,STAligner,0.3559,0.5521,0.3515,0.5436,0.3602,0.5605
MouseEmbryo,,STAligner_leiden_spatial,0.3732,0.5849,0.3772,0.5847,0.3692,0.5850
MouseEmbryo,,GraphST,,,,,,
MouseEmbryo,,GraphST_leiden_spatial,,,,,,
MouseEmbryo,,SPIRAL,,,,,,
MouseEmbryo,,SPIRAL_leiden_spatial,,,,,,
MouseEmbryo,,Seurat,,,,,,
MouseEmbryo,,Seurat_leiden_spatial,,,,,,
